CR1000,CR1000,51714,CR1000.Std.32.03,CPU:Terra agua.CR1,28459,saida1min
RECORD,Tterra_Avg,Tagua_Avg,batt_volt_Min,PTemp,,
RN,,,,,,
,Avg,Avg,Min,Smp,,
30,30.59,27.23,12.58,25.95,,
31,31.44,27.59,12.58,25.92,,
32,32.33,27.86,12.58,25.92,,
33,33.17,28.04,12.58,25.85,,
34,34.03,28.27,12.58,25.85,,
35,34.87,28.41,12.58,25.83,,
36,35.7,28.69,12.58,25.79,,
37,36.41,28.9,12.58,25.79,,
38,37.15,29.08,12.58,25.76,,
39,37.85,29.37,12.58,25.76,,
40,38.49,29.51,12.58,25.73,,
41,39.14,29.66,12.58,25.73,,
42,39.72,29.91,12.58,25.7,,
43,40.31,30.04,12.58,25.7,,
44,40.81,30.22,12.58,25.67,,
45,41.32,30.39,12.58,25.67,,
46,41.84,30.54,12.58,25.61,,
47,42.19,30.77,12.58,25.61,,
48,42.68,30.82,12.58,25.58,,
49,42.95,31.2,12.58,25.58,,
50,43.39,31.21,12.58,25.55,,
51,43.58,31.36,12.58,25.55,,
52,44.21,31.4,12.58,25.52,,
53,44.47,31.68,12.58,25.52,,
54,44.8,31.92,12.58,25.49,,
55,45.1,31.99,12.58,25.46,,
56,45.49,32.08,12.58,25.43,,
57,45.75,31.7,12.58,25.4,,
58,45.75,31.6,12.58,25.4,,
59,45.55,31.69,12.58,25.4,,
60,45.41,31.36,12.58,25.37,,
61,44.85,31.52,12.58,25.34,,
62,44.57,31.19,12.58,25.34,,
63,43.94,31.23,12.58,25.31,,
64,43.56,31.02,12.58,25.28,,
65,43.05,30.83,12.58,25.22,,
66,42.54,30.71,12.58,25.19,,
67,42.07,30.55,12.58,25.16,,
68,41.57,30.48,12.58,25.1,,
69,41.2,30.23,12.58,25.07,,
70,40.75,29.95,12.58,25.01,,
71,40.23,29.85,12.58,24.98,,
72,39.94,29.43,12.58,24.92,,
73,39.38,29.35,12.58,24.87,,
74,39.04,29.19,12.58,24.81,,
75,38.66,29,12.58,24.78,,
76,38.25,28.87,12.58,24.75,,
77,37.89,28.7,12.58,24.69,,
78,37.45,28.61,12.58,24.66,,
79,37.13,28.36,12.58,24.6,,
80,36.76,28.24,12.58,24.57,,
81,36.44,28.04,12.58,24.51,,
82,36.15,27.8,12.58,24.45,,
83,35.76,27.73,12.58,24.39,,
84,35.46,27.58,12.58,24.36,,
85,35.15,27.44,12.58,24.3,,
86,34.82,27.26,12.58,24.28,,
87,34.52,27.2,12.58,24.22,,
88,34.22,27.07,12.58,24.16,,
89,33.97,26.88,12.58,24.13,,
90,33.69,26.73,12.58,24.1,,
91,33.4,26.6,12.58,24.07,,
92,33.13,26.51,12.58,24.07,,
93,32.89,26.41,12.58,24.04,,
94,32.67,26.26,12.58,24.04,,
95,32.39,26.19,12.58,23.99,,
96,32.17,26,12.58,23.96,,
97,31.96,25.95,12.58,23.93,,
98,31.71,25.8,12.58,23.9,,
99,31.66,25.6,12.58,23.87,,
100,31.45,25.47,12.58,23.84,,
101,31.11,25.52,12.58,23.78,,
102,30.97,25.4,12.58,23.72,,
103,30.67,25.36,12.58,23.7,,
104,30.53,25.13,12.58,23.67,,
105,30.34,25.04,12.58,23.64,,
106,30.14,24.92,12.58,23.61,,
107,29.84,25.01,12.58,23.61,,
108,29.67,24.83,12.58,23.58,,
109,29.56,24.72,12.58,23.58,,
110,29.38,24.64,12.58,23.55,,
111,29.27,24.49,12.58,23.55,,
112,29.14,24.43,12.58,23.52,,
113,28.96,24.33,12.58,23.5,,
114,28.9,24.21,12.58,23.47,,
115,28.64,24.22,12.58,23.44,,
